Query Time,Frame Start Time,Frame End Time,Image Acquisition Time,Blank1,L1 Rad Created,L1 Rad Available,L1 Availablity Time,Blank2,L2 ABI-L2-MCMIPC Created,L2 ABI-L2-MCMIPC Available,L2 ABI-L2-FDCC Created,L2 ABI-L2-FDCC Available,L2 ABI-L2-ACMC Created,L2 ABI-L2-ACMC Available,L1 Rad Downloaded,L2 ABI-L2-FDCC Downloaded,Total Time
2022-08-01 09:35:15.239184+00:00,2022-08-01 09:36:17.300000+00:00,2022-08-01 09:38:55.049999872+00:00,157,,2022-08-01 09:39:00.500000+00:00,2022-08-01 09:39:27.090960+00:00,32,,2022-08-01 09:39:05.300000+00:00,2022-08-01 09:39:31.938951+00:00,2022-08-01 09:39:19.900000+00:00,2022-08-01 09:39:32.067973+00:00,2022-08-01 09:40:06.400000+00:00,2022-08-01 09:40:19.185372+00:00,2022-08-01 09:40:21.353420+00:00,2022-08-01 09:40:21.946694+00:00,86
2022-08-01 09:40:21.957148+00:00,2022-08-01 09:41:17.300000+00:00,2022-08-01 09:43:55.043749888+00:00,157,,2022-08-01 09:44:00.700000+00:00,2022-08-01 09:44:17.215548+00:00,22,,2022-08-01 09:44:06.100000+00:00,2022-08-01 09:44:19.673894+00:00,2022-08-01 09:44:17.400000+00:00,2022-08-01 09:44:39.047935+00:00,2022-08-01 09:45:10+00:00,2022-08-01 09:45:21.058908+00:00,2022-08-01 09:45:23.465043+00:00,2022-08-01 09:45:24.485539+00:00,89
2022-08-01 09:45:24.495676+00:00,2022-08-01 09:46:17.300000+00:00,2022-08-01 09:48:55.049999872+00:00,157,,2022-08-01 09:49:00.300000+00:00,2022-08-01 09:49:16.710314+00:00,21,,2022-08-01 09:49:05+00:00,2022-08-01 09:49:19.165118+00:00,2022-08-01 09:49:15.100000+00:00,2022-08-01 09:49:19.296094+00:00,2022-08-01 09:50:02.400000+00:00,2022-08-01 09:50:22.675956+00:00,2022-08-01 09:50:24.864471+00:00,2022-08-01 09:50:25.421150+00:00,90
2022-08-01 09:50:25.431808+00:00,2022-08-01 09:51:17.300000+00:00,2022-08-01 09:53:55.049999872+00:00,157,,2022-08-01 09:54:02.400000+00:00,2022-08-01 09:54:18.283863+00:00,23,,2022-08-01 09:54:05.700000+00:00,2022-08-01 09:54:42.227912+00:00,2022-08-01 09:54:19.600000+00:00,2022-08-01 09:54:36.400641+00:00,2022-08-01 09:55:10+00:00,2022-08-01 09:55:19.286511+00:00,2022-08-01 09:55:21.443314+00:00,2022-08-01 09:55:22.009820+00:00,86
2022-08-01 09:55:22.020327+00:00,2022-08-01 09:56:17.300000+00:00,2022-08-01 09:58:55.049999872+00:00,157,,2022-08-01 09:59:00.400000+00:00,2022-08-01 09:59:31.031412+00:00,35,,2022-08-01 09:59:05.800000+00:00,2022-08-01 09:59:36.987339+00:00,2022-08-01 09:59:16.400000+00:00,2022-08-01 09:59:34.394180+00:00,2022-08-01 10:00:02.800000+00:00,2022-08-01 10:00:21.430350+00:00,2022-08-01 10:00:23.715980+00:00,2022-08-01 10:00:24.362341+00:00,89
,,,,,,,,,,,,,,,,,
2022-08-01 12:11:38.273433+00:00,2022-08-01 12:16:17.300000+00:00,2022-08-01 12:18:55.049999872+00:00,157,,2022-08-01 12:19:00.500000+00:00,2022-08-01 12:19:30.125984+00:00,35,,2022-08-01 12:19:06.300000+00:00,2022-08-01 12:19:31.395126+00:00,2022-08-01 12:19:17.400000+00:00,2022-08-01 12:19:31.515490+00:00,2022-08-01 12:20:07.600000+00:00,2022-08-01 12:20:14.596976+00:00,2022-08-01 12:20:16.959375+00:00,2022-08-01 12:20:17.634498+00:00,82
2022-08-01 12:20:17.641687+00:00,2022-08-01 12:21:17.300000+00:00,2022-08-01 12:23:55.049999872+00:00,157,,2022-08-01 12:24:01.200000+00:00,2022-08-01 12:24:28.013230+00:00,32,,2022-08-01 12:24:05.300000+00:00,2022-08-01 12:24:30.588029+00:00,2022-08-01 12:24:20.500000+00:00,2022-08-01 12:24:29.409277+00:00,2022-08-01 12:25:15.800000+00:00,2022-08-01 12:25:29.363818+00:00,2022-08-01 12:25:31.797386+00:00,2022-08-01 12:25:33.239650+00:00,98
2022-08-01 12:25:33.247255+00:00,2022-08-01 12:26:17.300000+00:00,2022-08-01 12:28:55.049999872+00:00,157,,2022-08-01 12:29:00.600000+00:00,2022-08-01 12:29:26.582991+00:00,31,,2022-08-01 12:29:05.400000+00:00,2022-08-01 12:29:29.047156+00:00,2022-08-01 12:29:18.900000+00:00,2022-08-01 12:29:27.978889+00:00,2022-08-01 12:30:05.200000+00:00,2022-08-01 12:30:30.133344+00:00,2022-08-01 12:30:32.434935+00:00,2022-08-01 12:30:33.116857+00:00,98
2022-08-01 12:30:33.125844+00:00,2022-08-01 12:31:17.300000+00:00,2022-08-01 12:33:55.049999872+00:00,157,,2022-08-01 12:34:00.200000+00:00,2022-08-01 12:34:25.292532+00:00,30,,2022-08-01 12:34:05+00:00,2022-08-01 12:34:27.753694+00:00,2022-08-01 12:34:19.600000+00:00,2022-08-01 12:34:26.684746+00:00,2022-08-01 12:35:07.900000+00:00,2022-08-01 12:35:25.532766+00:00,2022-08-01 12:35:27.906687+00:00,2022-08-01 12:35:28.614722+00:00,93
